State,City,Header,Description,Link
Florida,Stuart,Communication Square,Communication SquareCommunication Square LLC. 7108 S Kanner Hwy34997 Stuart,/usa/florida/stuart/communication-square/
Florida,Fort Myers,Lumen Fort Myers 2,Lumen1547 Seaboard St33916 Fort Myers,/usa/florida/fort-myers/lumen-fort-myers-2/
Florida,Fort Myers,Lumen Fort Myers 1,Lumen1523 Seaboard St33916 Fort Myers,/usa/florida/fort-myers/level3-fort-myers1/
Florida,Fort Myers,SkyLink - Naples,SkyLink Data Centers801 Orchid Drive34102 Naples,/usa/florida/fort-myers/skylink-naples/
Florida,Melbourne Fl,TerraCom Direct,"TerraCom Direct, LLC8635 Holiday Springs Road32940 Melbourne",/usa/florida/melbourne-fl/terracom-direct/
Florida,Melbourne Fl,Lumen Melbourne 1,Lumen1110 Line Street32901 Melbourne,/usa/florida/melbourne-fl/level3-melbourne1/
Florida,Melbourne Fl,Creative Network Innovations,Creative Network Innovations6905 N Wickham Rd.32935 Melbourne,/usa/florida/melbourne-fl/creative-network-innovations/
Florida,Daytona Beach,Lumen Daytona Beach 1,Lumen111 N. Segrave St32114 Daytona Beach,/usa/florida/daytona-beach/level3-daytona-beach1/
Florida,Deltona,Tel-Networks Data Center,"Tel-NetworksUSA, LLC885 South Richard Charles Beall Blvd32713 Debary",/usa/florida/deltona/tel-networks/
Florida,Naples Fl,Digital Cloud Vault,Digitial Cloud Vault8889 Pelican Bay Blvd N.34108 Naples,/usa/florida/naples-fl/digital-cloud-vault/
Illinois,Chicago,350 East Cermak Road (ORD10),Digital Realty350 East Cermak Road60616 Chicago,/usa/illinois/chicago/350-east-cermark-road/
Illinois,Chicago,Centersquare Lisle,Centersquare4513 Western Ave60532 Lisle,/usa/illinois/chicago/evoque-chi1/
Illinois,Chicago,600 S. Federal St. (ORD11),Digital Realty600 South Federal Street60605 Chicago,/usa/illinois/chicago/600-780-south-federal/
Illinois,Chicago,9333 Grand Avenue (ORD12),Digital Realty9333 Grand Avenue60131 Franklin Park,/usa/illinois/chicago/9377-grand-avenue/
Illinois,Chicago,2200 Busse Road (CH1),Digital Realty2200 Busse Road60007 Elk Grove Village,/usa/illinois/chicago/2200-busse-road/
Illinois,Chicago,9355 Grand Ave (ORD13),Digital Realty9355 Grand Ave60131 Franklin Park,/usa/illinois/chicago/digital-realty-chicago-ord13/
Illinois,Chicago,9377 Grand Ave (ORD14),Digital Realty9377 Grand Ave60131 Franklin Park,/usa/illinois/chicago/digital-realty-chicago-ord14/
Illinois,Chicago,505 N. Railroad Avenue (ORD23),Digital Realty505 North Railroad Avenue60164 Northlake,/usa/illinois/chicago/505-north-railroad-avenue/
Illinois,Chicago,1400 East Devon Avenue (CH3),Digital Realty1400 East Devon Avenue60007 Elk Grove Village,/usa/illinois/chicago/1400-east-devon-avenue/
Illinois,Chicago,2299 Busse Road (CH2),Digital Realty2299 Busse Road60007 Elk Grove Village,/usa/illinois/chicago/2299-busse-road/
Illinois,Chicago,Hivelocity - Chicago 1,Hivelocity350 East Cermak Road60616 Chicago,/usa/illinois/chicago/hivelocity-chicago-1/
Illinois,Chicago,Chicago II,Stream Data Centers1925 Busse Road60007 Elk Grove Village,/usa/illinois/chicago/chicago-ii/
Illinois,Chicago,Chicago I,Stream Data Centers2080 Lunt Avenue60007 Elk Grove Village,/usa/illinois/chicago/chicago-i/
