State,City,Operator,Header,Address,lat,lng,Link
Georgia,Atlanta,QTS Data Centers,QTS Atlanta-Metro DC 1,"1033 Jefferson St, Atlanta, CA 30319",36.778261,-119.4179324,/usa/georgia/atlanta/qts-atlanta/
Georgia,Atlanta,T5 Data Centers,T5 Data Centers - T5@Atlanta Campus,"5 Data Centers1456 Trae Ln, Lithia Springs, CA 30122",33.7664102,-84.6063273,/usa/georgia/atlanta/t5-data-centers-t5atlanta-campus/
Georgia,Atlanta,EdgeConneX,EdgeConneX Atlanta - EDCATL01,"1003 Donnelly Ave SW, Atlanta, CA 30310",33.7293841,-84.4201461,/usa/georgia/atlanta/edgeconnex-edcatl01/
Georgia,Atlanta,Volico Data Center,Volico Atlanta,"55 Marietta St, Atlanta, CA 30303",33.755711,-84.3883717,/usa/georgia/atlanta/volico-atl1/
Georgia,Atlanta,DataBank,DataBank ATL4 - South Fulton,"200 Selig Dr SW, South Fulton, CA 30336",33.7505191,-84.5482563,/usa/georgia/atlanta/databank-atl4-south-fulton/
Georgia,Atlanta,T5 Data Centers,T5 Data Centers - T5@Atlanta 2,"5 Data Centers1456 Trae Ln, Lithia Springs, CA 30122",33.7664102,-84.6063273,/usa/georgia/atlanta/t5-data-centers-t5atlanta-2/
Georgia,Atlanta,T5 Data Centers,T5 Data Centers - T5@Atlanta 3,"5 Data Centers1456 Trae Ln, Lithia Springs, CA 30122",33.7664102,-84.6063273,/usa/georgia/atlanta/t5-data-centers-t5atlanta-3/
Georgia,Atlanta,T5 Data Centers,T5 Data Centers - T5@Atlanta 5,"5 Data Centers1456 Trae Ln, Lithia Springs, CA 30122",33.7664102,-84.6063273,/usa/georgia/atlanta/t5-data-centers-t5atlanta-5/
Georgia,Atlanta,QTS Data Centers,QTS Atlanta-Suwanee DC 2,"120 Satellite Boulevard, Suwanee, CA 30024",34.0370725,-84.0576288,/usa/georgia/atlanta/qts-atlanta-suwanee-dc-2/
Georgia,Atlanta,T5 Data Centers,T5 Data Centers - T5@Atlanta 4,"5 Data Centers1456 Trae Ln, Lithia Springs, CA 30122",33.7664102,-84.6063273,/usa/georgia/atlanta/t5-data-centers-t5atlanta-4/
Georgia,Atlanta,EdgeConneX,EdgeConneX Atlanta - ATL02,"1101 Donnelly Avenue, Atlanta, CA 30310",33.731803,-84.4235854,/usa/georgia/atlanta/edgeconnex-atl02/
Georgia,Atlanta,365 Data Centers,365 Data Centers - SungardAS Smyrna,"5600 United Drive, Smyrna, CA 30082",33.8412318,-84.5223827,/usa/georgia/atlanta/sungardas-smyrna/
Georgia,Atlanta,Equinix,Equinix AT4,"450 Interstate North Parkway, Atlanta, CA 30339",36.778261,-119.4179324,/usa/georgia/atlanta/equinix-at4/
Georgia,Atlanta,Switch,Switch ATLANTA,"1 Switch Way, Lithia Springs, CA 30122",33.757025,-84.589446,/usa/georgia/atlanta/switch-atlanta/
Georgia,Atlanta,QTS Data Centers,QTS Atlanta-Fayetteville,"1435 Hwy 54 W, Fayetteville, CA 30214",33.447514,-84.5222234,/usa/georgia/atlanta/qts-atlanta-fayetteville/
Georgia,Atlanta,Google,Google Douglas County Data Center,"300 Riverside Pkwy, Lithia Springs, CA 30122",33.7494988,-84.5847724,/usa/georgia/atlanta/google-douglas-county/
Georgia,Atlanta,META,Meta Stanton Springs Data Center,"100 Move Fast Way, Social Circle, CA 30025",33.656228,-83.718231,/usa/georgia/atlanta/meta-stanton-springs-data-center/
Georgia,Atlanta,Equinix,Equinix AT1,"180 Peachtree Street NW, Atlanta, CA 30303",33.7585633,-84.3877746,/usa/georgia/atlanta/equinix-at1/
Georgia,Atlanta,Equinix,Equinix AT2,"56 Marietta Street NW, Atlanta, CA 30305",33.7554648,-84.3914602,/usa/georgia/atlanta/equinix-at2/
Georgia,Atlanta,Equinix,Equinix AT3,"56 Marietta Street NW, Atlanta, CA 30305",33.7554648,-84.3914602,/usa/georgia/atlanta/equinix-at3/
Georgia,Atlanta,Lumen,Lumen College Park,"4311 Best Rd, College Park, CA 30337",33.6375708,-84.458532,/usa/georgia/atlanta/lumen-college-park/
Georgia,Atlanta,Capital Internet Data Center,Capital Internet,"200 Sandy Springs Place, Atlanta, CA 30328",36.778261,-119.4179324,/usa/georgia/atlanta/capital-internet/
Georgia,Atlanta,"Tulix Systems, Inc.",Atlanta Data Center,"55 Marietta St NW, Atlanta, CA 30303",33.7559437,-84.3911017,/usa/georgia/atlanta/atlanta-data-center/
Georgia,Atlanta,Lumen,Lumen Dorabille 1,"6855 Cresecent Drive, Atlanta, CA 30340",33.9080539,-84.2362069,/usa/georgia/atlanta/level3-dorabille1/
Georgia,Atlanta,Lumen,Lumen Atlanta 5,"953 Donnelly Ave SW, Atlanta, CA 30310",33.7286213,-84.4186617,/usa/georgia/atlanta/level3-atlanta5/
Georgia,Atlanta,"Cogent Communications, Inc.",Cogent Atlanta,"55 Marietta St NW, Atlanta, CA 30303",33.7559437,-84.3911017,/usa/georgia/atlanta/cogent-atlanta/
Georgia,Atlanta,Lumen,Lumen Atlanta,"345 Courtland St NE, Atlanta, CA 30308",33.765199,-84.3836503,/usa/georgia/atlanta/level3-atlanta1/
Georgia,Atlanta,Lumen,Lumen Atlanta 6,"874 Dekalb Avenue, Atlanta, CA 30307",33.7724417,-84.3279093,/usa/georgia/atlanta/level3-atlanta6/
Georgia,Atlanta,Lumen,Lumen Atlanta 2,"180 Peachtree St., N.W., Atlanta, CA 30303",33.7585633,-84.3877746,/usa/georgia/atlanta/level3-atlanta2/
Georgia,Atlanta,Virtual Citadel,Virtual Citadel,"2380 Godby Rd, College Park, CA 30349",33.6145252,-84.467167,/usa/georgia/atlanta/virtual-citadel/
Georgia,Atlanta,"Principal Real Estate Partners, LLC",55 Marietta Street,"55 Marietta Street, Atlanta, CA 30303",36.778261,-119.4179324,/usa/georgia/atlanta/55-marietta/
Georgia,Atlanta,Colo Atl,Colo Atl,"55 Marietta Street, Atlanta, CA 30303",36.778261,-119.4179324,/usa/georgia/atlanta/colo-atl/
Georgia,Atlanta,Colo@,Colo@34,"34 Peachtree St., Atlanta, CA 30303",33.7549391,-84.389679,/usa/georgia/atlanta/colo-at-34/
Georgia,Atlanta,Colo@,Colo@55,"55 Marietta, Atlanta, CA 30303",36.778261,-119.4179324,/usa/georgia/atlanta/colo-at-55/
Georgia,Atlanta,Unknown Company,Peachtree Data Center,"180 Peachtree Street, Atlanta, CA 30303",33.7585442,-84.3878051,/usa/georgia/atlanta/peachtree-datacenter/
Georgia,Atlanta,Windstream,Windstream Atlanta,"1593 NE Expressway, Atlanta, CA 30329",36.778261,-119.4179324,/usa/georgia/atlanta/nuvox-atlanta/
Georgia,Atlanta,XO Communications,XO Atlanta,"4000 Highland Parkway SE, Smyrna, CA 30082",33.8290025,-84.5031219,/usa/georgia/atlanta/xo-atlanta/
Georgia,Atlanta,Sago Networks,Sago Networks Atlanta,"4311 Communications Drive, Norcross, CA 30093",33.9371211,-84.1482016,/usa/georgia/atlanta/sago-networks-atlanta/
Georgia,Atlanta,Facility Gateway Corporation,470 Exchange,"470 East Paces Ferry Road, Atlanta, CA 30327",36.778261,-119.4179324,/usa/georgia/atlanta/470-exchange/
Georgia,Atlanta,ColoCrossing,ColoCrossing GA1,"34 Peachtree Street, Atlanta, CA 30303",33.7549391,-84.389679,/usa/georgia/atlanta/colocrossing-ga1/
Georgia,Atlanta,American Tower Corporation,Edge Data Center - Atlanta,"2374 Fairburn Road Southwest, Atlanta, CA 30303",36.778261,-119.4179324,/usa/georgia/atlanta/atc-edge-data-atlanta/
Georgia,Atlanta,tw telecom,tw telecom Atlanta #2,"180 Peachtree St SW, Atlanta, CA 30303",33.7494848,-84.394184,/usa/georgia/atlanta/twtc-atlanta2/
Georgia,Atlanta,tw telecom,tw telecom Atlanta,"2 Ravinia Dr, Atlanta, CA 30343",33.748752,-84.3876845,/usa/georgia/atlanta/twtc-atlanta/
Georgia,Alpharetta,STACK INFRASTRUCTURE,STACK Infrastructure ATL01A,"3200 Webb Bridge Rd, Alpharetta, CA 30005",34.0757412,-84.2642699,/usa/georgia/alpharetta/stack-infrastructure-atl01a/
Georgia,Alpharetta,365 Data Centers,365 Data Centers - SungardAS Alpharetta,", Great Oaks Way, CA 11650",34.0584737,-84.2709498,/usa/georgia/alpharetta/sungardas-alpharetta/
Georgia,Columbus Ga,tw telecom,tw telecom Columbus GA,"1044 Front Ave, Columbus, CA 31901",32.4663572,-84.9942258,/usa/georgia/columbus-ga/twtc-columbus-ga/
Georgia,Carrollton,Fogo Data Centers,Fogo Data Centers - Atlanta Region,"340 Tom Reeve Drive, Carrollton, CA 30117",33.5582209,-85.0906643,/usa/georgia/carrollton/atlanta-region/
Georgia,Buford,Digital Service Consultants Inc,DSC,"743 Church Street, Buford, CA 30518",34.1099916,-84.0030793,/usa/georgia/buford/dsc/
Georgia,Dalton,Core Scientific,Core Scientific,"2 miles from city center, Dalton, CA 30721",34.7698021,-84.9702228,/usa/georgia/dalton/core-scientific/
Georgia,Statesboro,EdgePresence,"Edge Data Center - Statesboro, GA","695 Brannen St, Statesboro, CA 30461",32.4325928,-81.7604578,/usa/georgia/statesboro/edge-statesboro/
Arizona,Phoenix,Iron Mountain Data Centers,Iron Mountain Data Centers AZS-1,"8521 E. Princess Drive, Scottsdale, CA 85255",33.6445574,-111.8957976,/usa/arizona/phoenix/iron-mountain-azs-1/
Arizona,Phoenix,Iron Mountain Data Centers,Iron Mountain Data Centers AZP-2,"4802 East Van Buren Street, Phoenix, CA 85008",33.4524392,-111.9775517,/usa/arizona/phoenix/iron-mountain-azp-2/
Arizona,Phoenix,Iron Mountain Data Centers,Iron Mountain Data Centers AZP-1,"615 North 48th Street, Phoenix, CA 85008",33.4544312,-111.9757238,/usa/arizona/phoenix/iron-mountain-azp-1/
Arizona,Phoenix,Digital Realty,2121 S. Price Road (PHX15),"2121 S. Price Road, Chandler, CA 85286",36.778261,-119.4179324,/usa/arizona/phoenix/2121-s-price/
Arizona,Phoenix,Digital Realty,120 East Van Buren St (PHX10),"120 East Van Buren Street, Phoenix, CA 85004",33.4520026,-112.0720424,/usa/arizona/phoenix/120-east-van-buren-street/
Arizona,Phoenix,Centersquare,Centersquare Mesa,"1301 W University Drive, Mesa, CA 85201",36.778261,-119.4179324,/usa/arizona/phoenix/evoque-phx1/
Arizona,Phoenix,Stream Data Centers,"Phoenix I - VI , Goodyear Campus","2950 S. Litchfield Road, Goodyear, CA 85338",33.419655,-112.360011,/usa/arizona/phoenix/phoenix-goodyear/
Arizona,Phoenix,Flexential,Flexential Phoenix - Deer Valley Data Center,"1850 W. Deer Valley Rd, Phoenix, CA 85027",33.6846458,-112.0981242,/usa/arizona/phoenix/flexential-phoenix/
Arizona,Phoenix,Iron Mountain Data Centers AZP-3,Iron Mountain Data Centers AZP-3,"1 and AZP-2., Phoenix, CA 85008",33.4520558,-111.9772911,/usa/arizona/phoenix/iron-mountain-azp-3/
Arizona,Phoenix,H5 Data Centers,H5 Data Centers Phoenix,"5 Data Centers2600 W. Germann Rd., Chandler, CA 85286",36.778261,-119.4179324,/usa/arizona/phoenix/nextfort/
Arizona,Phoenix,CyrusOne Data Centers,CyrusOne Phoenix Campus,"2335 South Ellis St, Chandler, CA 85286",36.778261,-119.4179324,/usa/arizona/phoenix/cyrusone-phoenix-chandler/
Arizona,Phoenix,NTT Global Data Centers,NTT Phoenix PH1,"10302 E. Elliot Road, Mesa, CA 85212",33.3499967,-111.6122227,/usa/arizona/phoenix/ntt-phoenix-ph1/
